timestamp_utc,symbol,source,published_at,title,summary,url,prompt,sentiment_score
2026-05-29T20:07:43+00:00,TTD,google_news,2026-05-26T20:35:37+00:00,ELBM Q4 2025 Earnings: Deep EPS Miss Amid Strategic Progress; Stock Gains Slightly - Investor Earnings Call - The Legal Advocate,ELBM Q4 2025 Earnings: Deep EPS Miss Amid Strategic Progress; Stock Gains Slightly - Investor Earnings Call &nbsp;&nbsp; The Legal Advocate,https://news.google.com/rss/articles/CBMizAFBVV95cUxPMFYzUnIzQWxtdDZjeGhtWXpEdklYaUpUNERHXy1ydjdHa0dyTXcxVnZwUHpsc25XdlNaMXVtOER2WVM2eXhscjdsUVZVYlJvSUhYcFI2SEpfdlJvWXhTNVY3QTJRaWhYdkhyTEZWdkpnVmxxMEVPZzB1bWxfc3FVT0JLN0g4c0Z3M3JyZzNJbzJvYkdxR1B6ZGxZSjg4R2hPMDdBUXhrMkVjVHMwODRwdlFlNHVzcC1LQUFZdDkyQlNSbmtTdkpSRU5kTGw?oc=5,"Ticker: TTD. Company: TTD. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: ELBM Q4 2025 Earnings: Deep EPS Miss Amid Strategic Progress; Stock Gains Slightly - Investor Earnings Call - The Legal Advocate. Summary: ELBM Q4 2025 Earnings: Deep EPS Miss Amid Strategic Progress; Stock Gains Slightly - Investor Earnings Call &nbsp;&nbsp; The Legal Advocate",-1.0
2026-05-29T20:07:43+00:00,APTV,google_news,2026-05-26T20:35:42+00:00,PASG Q1 2026 Earnings: Smaller-than-Expected Loss Drives Positive Market Response - Earnings Volatility Report - The Legal Advocate,PASG Q1 2026 Earnings: Smaller-than-Expected Loss Drives Positive Market Response - Earnings Volatility Report &nbsp;&nbsp; The Legal Advocate,https://news.google.com/rss/articles/CBMiygFBVV95cUxPSWlkM2FaT2IxZXg3d1hFRFVBMURYb0w2dklLZFhDZFhJazdpVFRTcnBXTHE3QXRFd191c3QxNTBRMVJyQ3FMMFU1RzlDamtWQ0dFRlpTUGJZT3A0ZVNqMkZNbXRpUmtqV0E4dmNMUU1ELXI4WFpvUDJRWjVSejdTQ0U4ZW9PVDZaNHEzbDJwVTVzQlB1ZmgxdlhXOGZYMzFxaUk5RzlmLW9RaDF5dFRqN0hlT2p6aE9ncDZVOEUxZWJNOERHWUl2amJR?oc=5,"Ticker: APTV. Company: APTV. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: PASG Q1 2026 Earnings: Smaller-than-Expected Loss Drives Positive Market Response - Earnings Volatility Report - The Legal Advocate. Summary: PASG Q1 2026 Earnings: Smaller-than-Expected Loss Drives Positive Market Response - Earnings Volatility Report &nbsp;&nbsp; The Legal Advocate",-1.0
2026-05-29T20:07:43+00:00,APA,yahoo,2026-05-26T20:39:18+00:00,Stocks Finish Mostly Higher on Iran Peace Progress,"The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://www.barchart.com/story/news/2138116/stocks-finish-mostly-higher-on-iran-peace-progress?.tsrc=rss,"Ticker: APA. Company: APA. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Stocks Finish Mostly Higher on Iran Peace Progress. Summary: The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",1.0
2026-05-29T20:07:43+00:00,INTU,yahoo,2026-05-26T20:39:18+00:00,Stocks Finish Mostly Higher on Iran Peace Progress,"The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://www.barchart.com/story/news/2138116/stocks-finish-mostly-higher-on-iran-peace-progress?.tsrc=rss,"Ticker: INTU. Company: INTU. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Stocks Finish Mostly Higher on Iran Peace Progress. Summary: The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",1.0
2026-05-29T20:07:43+00:00,HUM,yahoo,2026-05-26T20:39:18+00:00,Stocks Finish Mostly Higher on Iran Peace Progress,"The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://www.barchart.com/story/news/2138116/stocks-finish-mostly-higher-on-iran-peace-progress?.tsrc=rss,"Ticker: HUM. Company: HUM. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Stocks Finish Mostly Higher on Iran Peace Progress. Summary: The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",1.0
2026-05-29T20:07:43+00:00,OXY,yahoo,2026-05-26T20:39:18+00:00,Stocks Finish Mostly Higher on Iran Peace Progress,"The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://www.barchart.com/story/news/2138116/stocks-finish-mostly-higher-on-iran-peace-progress?.tsrc=rss,"Ticker: OXY. Company: OXY. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Stocks Finish Mostly Higher on Iran Peace Progress. Summary: The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",1.0
2026-05-29T20:07:43+00:00,DVN,yahoo,2026-05-26T20:39:18+00:00,Stocks Finish Mostly Higher on Iran Peace Progress,"The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",https://www.barchart.com/story/news/2138116/stocks-finish-mostly-higher-on-iran-peace-progress?.tsrc=rss,"Ticker: DVN. Company: DVN. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Stocks Finish Mostly Higher on Iran Peace Progress. Summary: The S&amp;P 500 Index ($SPX ) (SPY ) on Tuesday closed up +0.61%, the Dow Jones Industrial Average ($DOWI ) (DIA ) closed down -0.23%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) closed up +1.76%. June E-mini S&amp;P futures (ESM26 ) rose +0.61%, and June E-mini Nasdaq futures...",1.0
2026-05-29T20:07:43+00:00,INTU,google_news,2026-05-26T21:18:15+00:00,"Intuit (INTU) director buys 1,750 common shares in open-market trades - Stock Titan","Intuit (INTU) director buys 1,750 common shares in open-market trades &nbsp;&nbsp; Stock Titan",https://news.google.com/rss/articles/CBMipwFBVV95cUxOM1pmOXowMnBxaFlld1ZHNFVHUU15UVlNcFZHbWVXZGFISlI2UTNMSEk0QlVaaDRkR0hqajFkbXFKclNoMEgxU3dKXzBxRkpqZlhLeFotX2M2X2dmTW54THkwOER0bm9aMlFWTGZteDRiZTZiWlNiek5tRGRGUHFFM1Q2T05YeVZqdzVNM2c3SXpGU1d1M2xzb2RBM1IwRFhuaVpyRjVqWQ?oc=5,"Ticker: INTU. Company: INTU. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Intuit (INTU) director buys 1,750 common shares in open-market trades - Stock Titan. Summary: Intuit (INTU) director buys 1,750 common shares in open-market trades &nbsp;&nbsp; Stock Titan",0.0
2026-05-29T20:07:43+00:00,ACN,google_news,2026-05-26T21:25:02+00:00,Semtech (SMTC) Beats Q1 Earnings and Revenue Estimates - Yahoo Finance,Semtech (SMTC) Beats Q1 Earnings and Revenue Estimates &nbsp;&nbsp; Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxPN242TGpxYVVUYlFpVUxXQUoxS1dpVVkyUm1uaXlpN2xQb2Z6RlVKTFdsdnd1cUU2bEdhTHdWX3JTb2doR0VoREJuX005NnRjelhrR3Y0NjhJQXRrTmlpQ1ZQcUY2WDN2TkFWM1dTbGpUZVU4eG8yb2lvQnJXQWNscnRaa29SZTVERHhtLWVCUG9MYzVNMkI0N3pDQQ?oc=5,"Ticker: ACN. Company: ACN. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Semtech (SMTC) Beats Q1 Earnings and Revenue Estimates - Yahoo Finance. Summary: Semtech (SMTC) Beats Q1 Earnings and Revenue Estimates &nbsp;&nbsp; Yahoo Finance",1.0
2026-05-29T20:07:43+00:00,ACN,yahoo,2026-05-26T21:25:02+00:00,Semtech (SMTC) Beats Q1 Earnings and Revenue Estimates,"Semtech (SMTC) delivered earnings and revenue surprises of +12.51% and +2.73%, respectively, for the quarter ended April 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finance.yahoo.com/markets/stocks/articles/semtech-smtc-beats-q1-earnings-212502642.html?.tsrc=rss,"Ticker: ACN. Company: ACN. Assess whether this fresh market news is positive, neutral, or negative for the stock. Headline: Semtech (SMTC) Beats Q1 Earnings and Revenue Estimates. Summary: Semtech (SMTC) delivered earnings and revenue surprises of +12.51% and +2.73%, respectively, for the quarter ended April 2026. Do the numbers hold clues to what lies ahead for the stock?",1.0
